100
1		≥¬—«Ëµ	   2	      9	      8	      10	  7	      10	  6	      9	      8	      9	      8
2		Õıæ˝«‡	   0	      7	      8	      9	      9	      9	      5	      10	  5	      8	      7
3		∏∂Ω‡ Ê	   2	      5	      5	      7	      5	      9	      9	      7	      5	      6	      6
4		÷‹”±∑„	   0	      9	      9	      5	      6	      9	      7	      9	      9	      8	      5
5		«Ò¡´Ê¬	   1	      10	      5	      7	      5	      6	      5	      5	      8	      8	      8
6		Õı”ΩÊº	   2	      9	      9	      9	      10	      9	      10	      10	      8	      10	      10
7		’≈›º“¡	   0	      8	      7	      5	      5	      5	      9	      10	      6	      10	      6
8		≥¬«Ÿ«Ì	   2	      6	      9	      5	      7	      10	      6	      5	      8	      6	      6
9		«Ò›º≤ 	   1	      8	      6	      9	      6	      6	      8	      10	      10	      8	      7
10		–Ï—«ª∑	   1	      7	      7	      5	      7	      9	      5	      5	      8	      9	      8
11		≈Ìƒ˛ª€	   0	      8	      5	      6	      8	      10	      8	      9	      7	      8	      10
12		÷”¿ÛÛﬁ	   1	      8	      9	      9	      6	      10	      10	      10	      10	      6	      9
13		Ò˚‹∞¿Ω	   1	      5	      9	      5	      7	      5	      8	      8	      6	      8	      5
14		‘¨æß‘œ	   1	      7	      5	      10	      8	      7	      10	      8	      7	      5	      10
15		πÀœ£æ≤	   2	      6	      9	      9	      9	      10	      9	      6	      6	      6	      6
16		¿ÓºŒœº	   0	      9	      8	      10	      6	      7	      6	      9	      5	      7	      6
17		¬¨“¡∂	   2	      9	      6	      9	      9	      6	      8	      7	      5	      8	      8
18		∂≈Ê˝¿Ú	   1	      7	      7	      9	      9	      9	      10	      8	      6	      10	      8
19		–ÏË•æ˝	   1	      10	      8	      6	      5	      6	      7	      8	      10	      8	      8
20		Ã¿‰ﬁÊØ	   1	      6	      5	      9	      9	      9	      7	      7	      10	      6	      7
21		ø◊µ§æ≤	   1	      10	      7	      9	      6	      8	      8	      9	      7	      7	      9
22		π®—««Ÿ	   0	      9	      5	      10	      5	      7	      7	      6	      8	      8	      5
23		…€ Ê Á	   0	      7	      10	      6	      5	      9	      6	      9	      5	      5	      10
24		Ω¿Ω¥∫	   0	      10	      10	      7	      8	      5	      8	      9	      6	      5	      9
25		√œ∫…“’	   2	      7	      6	      8	      10	      7	      10	      6	      5	      8	      8
26		∑∂æ≤—«	   2	      5	      7	      7	      9	      5	      8	      5	      8	      9	      9
27		∑Î”Ò	   0	      8	      10	      7	      6	      10	      8	      5	      10	      8	      8
28		∂°”Ò—≈	   1	      6	      8	      7	      5	      5	      7	      9	      8	      5	      10
29		ΩØ‹Á›Ì	   0	      8	      5	      9	      7	      6	      5	      10	      7	      10	      6
30		∏ﬂª∑Ë¥	   2	      10	      10	      7	      9	      8	      8	      10	      6	      5	      8
31		«Ò«Ô›Ì	   1	      7	      5	      9	      7	      8	      9	      7	      6	      5	      10
32		¡∫—˛“À	   0	      5	      6	      9	      6	      7	      9	      5	      9	      7	      6
33		’≈Ê¬‘∑	   1	      7	      6	      6	      5	      5	      8	      8	      6	      9	      6
34		Õı»ÿ«Ô	   0	      7	      8	      8	      8	      5	      5	      7	      8	      9	      10
35		¬Ω·∞Á˘	   2	      8	      5	      7	      8	      7	      6	      7	      8	      7	      9
36		∑∂Êø“¡	   0	      10	      9	      7	      9	      7	      7	      5	      5	      9	      8
37		—œﬁ±¡·	   2	      8	      8	      6	      6	      10	      6	      10	      7	      10	      7
38		¿◊∆Æø…	   0	      7	      6	      10	      8	      8	      7	      5	      9	      10	      8
39		◊ﬁ¥œ«Ì	   0	      7	      10	      5	      5	      8	      7	      6	      9	      6	      8
40		¿◊‰ﬁ—˛	   1	      9	      7	      6	      7	      8	      9	      6	      5	      6	      6
41		¬¨—«œº	   2	      6	      7	      10	      5	      10	      5	      8	      7	      9	      5
42		◊ﬁΩı‹∞	   1	      10	      9	      9	      9	      6	      5	      5	      5	      5	      5
43		∂ŒπΩı	   2	      5	      5	      7	      5	      6	      10	      6	      7	      8	      6
44		–ÏÀ¨Ë™	   1	      7	      10	      5	      7	      7	      6	      7	      8	      5	      7
45		“¶ÊØËµ	   1	      6	      7	      9	      7	      10	      5	      5	      8	      5	      10
46		≥Ã«Ô—‡	   0	      6	      6	      7	      8	      5	      6	      9	      7	      7	      10
47		¿Ó¡’ﬁ±	   2	      9	      7	      7	      6	      10	      9	      8	      7	      5	      8
48		–Ï√√»ÿ	   0	      6	      6	      10	      9	      8	      10	      7	      5	      6	      7
49		Ω”∞µ§	   1	      6	      7	      10	      8	      8	      9	      5	      8	      10	      6
50		’‘–¿«‰	   2	      10	      9	      6	      9	      10	      7	      8	      7	      9	      6
51		¥˜Ÿª∑º	   1	      6	      5	      6	      7	      6	      8	      7	      5	      7	      8
52		÷‹‚˘¿º	   0	      8	      6	      7	      6	      6	      9	      5	      7	      8	      5
53		œÚ»Ô«‰	   2	      5	      6	      9	      9	      5	      6	      7	      7	      8	      7
54		¡÷›∫ƒ»	   2	      6	      6	      6	      6	      6	      10	      9	      8	      5	      7
55		¿◊’ÊÊµ	   1	      8	      5	      10	      6	      9	      8	      9	      8	      10	      8
56		Œ§·∞Ωı	   0	      9	      10	      10	      7	      5	      6	      8	      10	      7	      9
57		‘¯Ê∑ºß	   2	      9	      5	      5	      8	      9	      7	      6	      9	      10	      8
58		¿◊»Ôø…	   1	      5	      5	      5	      10	      6	      9	      8	      7	      6	      6
